Country,Period_ID
abkhazia,1190
austria,311
austria,759
austria,59
austria,242
austria,298
austria,299
austria,548
austria,675
austria,810
austria,858
austria,989
austria,1043
azerbaijan,210
azerbaijan,32
azerbaijan,64
azerbaijan,65
azores,755
azores,754
azores,1010
albania,199
albania,203
albania,523
albania,522
andorra,305
andorra,415
armenia,134
armenia,32
armenia,64
armenia,65
belarus,122
belarus,32
belarus,64
belgium,306
belgium,49
belgium,798
belgium,107
belgium,245
belgium,269
belgium,367
belgium,421
bulgaria,103
bulgaria,137
bulgaria,133
bulgaria,229
bulgaria,230
bulgaria,348
bosnia_herzegovina,223
bosnia_herzegovina,296
bosnia_herzegovina,138
bosnia_herzegovina,278
vatican_city,326
vatican_city,167
vatican_city,422
vatican_city,423
vatican_city,424
vatican_city,425
united_kingdom,8
united_kingdom,11
united_kingdom,30
united_kingdom,36
united_kingdom,77
united_kingdom,131
united_kingdom,283
united_kingdom,614
united_kingdom,613
united_kingdom,779
united_kingdom,805
united_kingdom,808
united_kingdom,838
hungary,19
hungary,20
hungary,21
hungary,195
hungary,336
hungary,549
hungary,811
hungary,1020
hungary,1119
hungary,1120
hungary,1203
germany,1
germany,42
germany,929
germany,44
germany,43
germany,96
germany,95
germany,157
germany,156
germany,155
germany,471
germany,291
guernsey,277
guernsey,584
gibraltar,758
gibraltar,274
gibraltar,1143
greece,312
greece,951
greece,33
greece,196
greece,198
greece,227
greece,1302
greece,226
greece,387
greece,632
greece,633
georgia,159
georgia,32
georgia,64
georgia,65
georgia,1191
denmark,45
denmark,98
denmark,146
denmark,220
denmark,373
denmark,374
denmark,646
denmark,647
denmark,846
denmark,1115
denmark,1147
jersey,331
jersey,460
ireland,313
ireland,1121
ireland,38
ireland,332
ireland,340
ireland,787
ireland,1022
iceland,129
iceland,252
iceland,338
spain,325
spain,792
spain,67
spain,112
spain,194
spain,256
spain,417
spain,426
spain,474
spain,512
spain,796
spain,791
spain,879
spain,880
spain,881
spain,973
spain,974
spain,1066
spain,1065
italy,314
italy,69
italy,102
italy,479
italy,478
italy,865
kazakhstan,108
kazakhstan,32
kazakhstan,64
kazakhstan,65
cyprus,307
cyprus,118
cyprus,206
cyprus,353
cyprus,541
cyprus,542
cyprus,543
cyprus,544
latvia,315
latvia,48
latvia,32
latvia,64
latvia,139
lithuania,316
lithuania,39
lithuania,32
lithuania,64
lithuania,68
lithuania,802
lithuania,1026
lithuania,1183
lithuania,1185
liechtenstein,794
liechtenstein,609
liechtenstein,610
luxembourg,317
luxembourg,761
luxembourg,164
luxembourg,343
luxembourg,676
luxembourg,1042
madeira_islands,1076
madeira_islands,1030
malta,318
malta,136
order_of_malta,752
moldova,115
moldova,32
moldova,64
monaco,319
monaco,176
monaco,569
netherlands,320
netherlands,52
netherlands,784
netherlands,92
netherlands,268
netherlands,337
netherlands,431
netherlands,432
netherlands,1201
netherlands,1199
norway,57
norway,130
norway,267
norway,394
norway,783
norway,883
norway,1041
alderney,622
isle_of_man,793
isle_of_man,231
isle_of_man,971
poland,63
poland,109
poland,105
poland,110
poland,890
poland,163
poland,265
poland,771
poland,550
poland,699
poland,802
poland,851
poland,964
poland,965
poland,1027
poland,1026
poland,1182
poland,1183
poland,1185
portugal,321
portugal,126
portugal,795
portugal,132
portugal,232
portugal,564
portugal,814
portugal,1008
portugal,1164
transnistria,263
russia,12
russia,27
russia,28
russia,32
russia,64
russia,65
russia,178
russia,279
russia,280
russia,507
russia,508
russia,509
russia,1200
russia,738
russia,615
russia,616
russia,617
russia,729
russia,728
russia,730
russia,731
russia,732
russia,1162
romania,113
romania,142
romania,149
romania,270
romania,273
san_marino,322
san_marino,168
san_marino,562
seborga,1129
macedonia,266
macedonia,138
macedonia,278
serbia,119
serbia,124
serbia,138
serbia,398
serbia,278
serbia,400
serbia,399
sealand,1193
slovakia,323
slovakia,23
slovakia,35
slovakia,37
slovakia,207
slovakia,215
slovakia,172
slovenia,324
slovenia,61
slovenia,138
slovenia,278
turkey,55
turkey,97
turkey,127
turkey,141
turkey,341
turkey,498
turkey,499
turkey,500
turkey,501
turkey,502
turkey,933
ukraine,54
ukraine,32
ukraine,64
faroes,766
finland,309
finland,930
finland,120
finland,145
finland,200
finland,510
finland,511
france,310
france,1001
france,58
france,73
france,188
france,222
france,449
france,537
france,740
france,1148
france,741
france,856
france,857
france,867
france,972
croatia,29
croatia,138
croatia,574
croatia,278
montenegro,124
montenegro,138
montenegro,453
czech_republic,25
czech_republic,35
czech_republic,37
czech_republic,207
czech_republic,213
czech_republic,172
switzerland,7
switzerland,62
switzerland,504
switzerland,828
sweden,40
sweden,89
sweden,165
sweden,381
sweden,671
sweden,672
sweden,827
sweden,955
sweden,1072
sweden,1244
sweden,1249
estonia,308
estonia,56
estonia,32
estonia,64
estonia,99
estonia,100
anguilla,769
antigua_barbuda,743
argentina,74
argentina,75
argentina,78
argentina,79
argentina,154
aruba,286
aruba,191
bahamas,240
barbados,197
belize,281
belize,590
bermuda,241
bermuda,717
bolivia,224
bolivia,282
bolivia,292
bolivia,1017
bolivia,368
bolivia,893
bolivia,1018
bolivia,1235
brazil,81
brazil,82
brazil,83
brazil,84
brazil,85
brazil,174
brazil,444
brazil,445
brazil,446
brazil,923
brazil,875
brazil,876
brazil,1080
brazil,1079
brazil,1081
british_antarctic_territory,715
virgin_islands_british,515
venezuela,859
venezuela,71
venezuela,70
venezuela,72
venezuela,1158
venezuela,204
venezuela,709
venezuela,1207
venezuela,708
venezuela,1208
venezuela,1210
venezuela,1206
venezuela,1209
eastern_caribbean,287
eastern_caribbean,503
haiti,391
haiti,513
haiti,762
haiti,753
guyana,344
guyana,736
guyana,737
guyana,891
guadeloupe,789
guatemala,225
guatemala,585
guatemala,589
guatemala,815
guatemala,1105
honduras,300
honduras,1106
honduras,1107
grenada,746
greenland,45
greenland,98
greenland,733
greenland,1128
dominica,745
dominican_republic,244
dominican_republic,895
cayman_islands,239
